Timestamp,Adam Joseph Lewis Center - Gross Electricity Consumption (kWh),Kohl Building - Total Electricity Use (kWh),Science Center - Electricity Use (kWh),Asia House - Residential Electricity Use (kWh),East - Electricity Use (kWh),Kahn - Total Electricity Use (kWh),Noah - Electricity Use (kWh),North - Electricity Use (kWh),Fairchild - Residential Electricity Use (kWh),Harvey - Electricity Use (kWh),Lord - Electricity Use (kWh),Saunders - Electricity Use (kWh),Talcott - Residential Electricity Use (kWh)
2021-04-05,1.5575390625000003,,91.04166666666667,2.1972916666666666,,10.309635416666666,3.1878124999999997,9.89989583333333,0.2651953124999999,1.7434375000000004,2.4517186458333335,2.42875,1.2676041666666666
2021-04-06,1.7861067708333331,,119.55208333333333,2.1324479166666666,,11.771093750000004,2.8232291666666676,9.532135416666662,0.2845572916666667,1.6629921875000002,2.7041927083333337,2.4264062500000008,1.2929557291666665
2021-04-07,1.4536718750000004,,128.28125229166668,2.1656640625,,10.04921875,2.3151041666666665,9.871770833333336,0.2404557291666667,1.64671375,2.2403906249999994,1.8947395833333334,1.260950520833333
2021-04-08,1.663359375,,126.75,2.197200520833332,,10.693750000000001,2.4086458333333325,10.274166666666668,0.30274739583333327,1.6342994791666667,2.179947916666666,1.9869010416666668,1.3525781250000002
2021-04-09,1.4603515624999999,,116.66666666666667,2.1609244791666664,,9.832552083333338,2.5398958333333326,9.853489583333337,0.3170182291666666,1.7799140625000005,2.3378125000000005,1.7858333333333327,1.414114583333334
2021-04-10,1.3227604166666664,,111.08333333333333,2.0991666666666675,,9.867187499999998,2.4706249999999996,9.949739583333331,0.29095052083333345,1.563916666666666,2.243489583333334,2.0846875,1.3933203125000002
2021-04-11,1.3577604166666664,,76.39583333333333,2.1878124999999993,,10.297656249999998,3.149999999999999,9.810416666666667,0.28912760416666666,2.1837630208333327,2.86703125,2.6020572916666667,1.3279427083333337
2021-04-12,1.5646484375,,82.71875,2.1349609374999994,,10.513020833333334,3.502500000000001,9.796145833333334,0.2782421875,1.9153750000000003,2.4793489583333335,2.4409635416666666,1.3506380208333335
2021-04-13,1.9771484374999995,,93.36458333333333,2.1666796875,,9.472135416666669,2.955833333333332,9.349427083333337,0.277265625,1.7818828124999995,2.175234375000001,1.933880208333334,1.2928515624999999
2021-04-14,1.7139713541666668,,86.10416666666667,2.0862109374999998,,9.722395833333335,3.403749895833332,9.017144479166666,0.28212239583333326,1.661023541666667,2.586979166666667,2.480468749999999,1.3260416666666668
2021-04-15,2.3301953124999994,,82.44791666666667,2.065976562499999,,10.74713541666666,3.697187500000002,9.296302083333332,0.2963281249999999,1.3575260416666666,2.085963541666667,1.6418749999999998,1.3510286458333332
2021-04-16,2.302148437499999,,83.0,2.1610677083333334,,10.859895833333331,3.759895833333335,9.641354166666668,0.3210156250000001,1.5028854166666672,1.972083333333333,1.829453125,1.319752604166667
2021-04-17,2.127122395833334,,76.3125,2.0530859374999997,,9.888541666666663,3.5985416666666676,9.394947916666666,0.3484375,1.4893593750000003,2.068098958333333,1.815885416666667,1.2459635416666666
2021-04-18,2.6121874999999997,,75.96875,2.0665104166666666,,10.586979166666666,3.3159375000000004,9.660364583333331,0.4297786458333331,1.503578125,2.1918229166666667,1.8620052083333334,1.224934895833333
2021-04-19,1.9506770833333338,,96.5,2.1339062500000003,,10.19765625,2.8514583333333317,9.915208333333338,0.3532161458333332,1.5513749999999995,2.5255729166666665,2.0629166666666667,1.3538671874999997
2021-04-20,3.7288541666666664,,82.23958333333333,2.152994791666667,,10.964062500000002,3.7184375000000016,9.288072916666666,0.37042968750000016,1.2422083333333334,2.4428125,1.9282031250000002,1.3613411458333335
2021-04-21,4.684934895833332,,82.5,2.0598046875000002,,10.064062500000002,3.7137499999999988,9.24453125,0.4070703125,1.2408958333333338,2.6463802083333325,2.0675260416666674,1.420286458333333
2021-04-22,5.241302083333334,,81.64583333333333,2.04984375,,10.473958333333334,3.696562499999999,8.899739583333334,0.41489583333333346,1.1804479166666666,2.5236718750000007,2.0867968749999997,1.3552473958333333
2021-04-23,2.875299479166669,,86.38541666666667,2.117369791666667,,9.852343750000001,3.3501041666666675,8.853072916666665,0.3839973958333333,1.8239557291666666,2.4180208333333333,2.6778645833333345,1.2633593750000005
2021-04-24,1.4515755208333336,,78.36458333333333,2.0792968749999994,,9.7546875,3.223541666666667,9.179218749999999,0.39205729166666653,1.8260703125000004,2.5121874999999996,2.2382031249999996,1.2622526041666668
2021-04-25,1.6211588541666666,,77.38541604166666,2.106067708333333,,9.984895833333331,3.439999999999998,9.387864583333334,0.35126302083333333,1.678760416666666,2.1210416666666663,1.8822656250000003,1.2998567708333333
2021-04-26,2.2255859374999996,,82.94795635416666,1.9587890625000002,,10.04453114583333,3.0651041666666674,9.295833333333334,0.3239192708333333,1.5953437499999998,2.691302083333333,2.1316406249999997,1.3013020833333333
2021-04-27,1.8476953125000002,,125.75,1.9613151041666663,,9.569270833333333,2.55375,9.748489583333336,0.3014453124999999,1.416315104166667,2.405546875,2.028255208333334,1.3165234374999997
2021-04-28,1.4700130208333322,,140.4375,2.0844270833333343,,10.857812500000001,2.1246875,10.421458333333335,0.31938802083333323,1.391979166666667,2.0538802083333336,1.6826302083333324,1.3941927083333336
2021-04-29,1.8595703124999996,,86.14583333333333,2.0642187500000007,,10.744283124999997,3.461875000000001,9.490729166666666,0.33180989583333326,1.8476718750000003,2.4461979166666654,2.105494791666666,1.4374348958333334
2021-04-30,1.7460677083333336,,81.4375,2.1858984375,,10.638280625000002,3.777812499999999,9.607239374999999,0.3887109374999998,1.7710364583333336,1.7007548958333338,1.527265625,1.4716666666666665
2021-05-01,1.625611979166667,,78.59375,2.1000390625,,9.36458333333333,2.885729166666667,9.340625,0.40647135416666674,1.8003125000000006,2.3385156249999994,1.893567708333334,1.3202994791666665
2021-05-02,1.33421875,,125.15625,2.1681640625000003,,9.288802083333328,2.286770833333333,10.343593750000002,0.3933984375000001,1.3251328125,1.8745312499999989,1.5157552083333332,1.3970442708333335
2021-05-03,1.6839973958333339,,105.72916666666667,2.224583333333333,,10.618489583333336,2.5775000000000006,9.508906250000003,0.4061588541666665,2.2817447916666667,2.4685156249999998,2.391328125,1.4287109374999998
2021-05-04,1.9322916666666667,,109.83333260416667,2.2120833333333327,,10.323958333333337,3.3484374999999993,9.353176979166667,0.400078125,2.0219062499999993,2.446119895833334,2.115104375,1.2511458333333336
2021-05-05,1.5933593750000001,,79.1875,2.1332161458333334,,10.671093958333335,4.096666770833333,9.149895937499997,0.3938802083333333,1.5142421875,1.9808854166666672,1.8119010416666654,1.2892838541666665
2021-05-06,1.8119661458333323,,79.44791666666667,2.095885416666667,,11.315364583333333,4.13125,9.188593749999999,0.37041666666666667,1.5995182291666665,2.3316145833333333,2.045651041666667,1.3723046875000005
2021-05-07,1.839791666666666,,81.41666666666667,2.0624869791666662,,11.801302083333333,4.136249999999998,9.335989583333337,0.31703125000000004,1.4904531250000004,1.9644010416666664,1.678255208333334,1.3000520833333336
2021-05-08,1.5354427083333337,,78.88541666666667,2.0212239583333336,,11.142708333333337,4.134687499999998,9.202968749999998,0.32438802083333335,1.5476562500000002,1.9770052083333336,1.8266145833333338,1.2817578125
2021-05-09,3.0324088541666665,,78.36458333333333,2.0803385416666678,,12.666145833333337,4.182083333333332,8.991249999999997,0.33287760416666673,1.475213541666667,2.2851302083333342,1.4294270833333333,1.3604687500000006
